,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
792,798,2,6,0,0,3,2,5,0,0,0,6800000000,0,0,0,-3300000000,-2500000000,-1000000000,0,0,0,2017-05-12,SL-153,18.1205479452,2013,3930,0.003,10,25,0.475,0.47,0.005,0.01,39123,32696,21323,SL-153,-0.08889975550000001,0.0051270519,up,up
796,802,2,1,0,0,4,1,2,0,0,0,-25100000000,25200000000,0,0,0,-100000000,0,0,0,0,2017-06-09,SL-153,18.043835616400003,2009,4992,-0.017,10,25,0.435,0.44,-0.005,-0.005,39123,32696,21324,SL-153,-0.0648463525,-0.0750354132,up,down
797,803,2,2,0,0,2,1,1,0,0,0,-22300000000,22300000000,0,0,0,100000000,-100000000,0,0,0,2017-06-07,SL-153,18.0493150685,2017,5475,-0.006999999999999999,10,25,0.445,0.45,-0.005,-0.005,39123,32696,21323,SL-153,-0.06500172500000001,0.0080088717,up,up
798,804,2,2,0,0,2,1,1,0,0,0,-22300000000,22300000000,0,0,0,100000000,-100000000,0,0,0,2017-06-07,SL-153,18.0493150685,2017,5475,-0.006999999999999999,10,25,0.445,0.45,-0.005,-0.005,39123,32696,21323,SL-153,-0.06500172500000001,0.0080088717,up,up
799,805,22,5,0,0,8,5,1,0,0,0,-1600000000,1100000000,0,0,-3100000000,3100000000,500000000,0,0,0,2017-05-31,SL-153,18.0684931507,2019,7279,0.003,10,25,0.445,0.44,0.005,-0.016,39123,32696,21323,SL-153,-0.07,0.0098382979,up,up
801,807,2,2,0,0,7,2,0,0,0,0,-500000000,0,0,0,7000000000,-6500000000,0,0,0,0,2017-05-19,SL-154,18.3534246575,2011,6069,0.001,10,25,0.49,0.495,-0.005,0.01,37666,32859,19028,SL-154,-0.09,0.0074134451,up,up
802,808,2,7,0,0,6,12,0,0,0,0,5600000000,3000000000,0,0,2800000000,-11400000000,0,0,0,0,2017-05-12,SL-154,18.3726027397,2013,3930,0.003,10,25,0.49,0.485,0.005,0.01,37666,32859,18933,SL-154,-0.06727109519999999,0.0081769131,up,down
807,813,3,2,0,0,15,7,2,0,0,0,6800000000,1000000000,0,0,-3000000000,-4800000000,0,0,0,0,2017-06-07,SL-154,18.301369862999998,2017,5475,-0.006999999999999999,10,25,0.46,0.465,-0.005,-0.005,37666,32859,19028,SL-154,-0.0609677419,0.0096737627,up,down
808,814,3,2,0,0,15,7,2,0,0,0,6800000000,1000000000,0,0,-3000000000,-4800000000,0,0,0,0,2017-06-07,SL-154,18.301369862999998,2017,5475,-0.006999999999999999,10,25,0.46,0.465,-0.005,-0.005,37666,32859,19028,SL-154,-0.0609677419,0.0096737627,up,down
809,815,2,3,0,0,10,2,0,0,0,0,-2100000000,1000000000,0,0,4600000000,-3500000000,0,0,0,0,2017-05-31,SL-154,18.3205479452,2019,7279,0.003,10,25,0.46,0.456,0.004,-0.019,37666,32859,19028,SL-154,-0.0736966825,0.0089301625,up,up
810,816,2,6,0,0,9,6,0,0,0,0,5700000000,-900000000,0,0,-7300000000,2500000000,0,0,0,0,2017-05-26,SL-155,18.5835616438,2006,4580,-0.01,10,25,0.49,0.48,0.01,-0.005,40742,32756,14790,SL-155,-0.0682142857,0.0095019492,up,down
811,817,3,2,0,0,7,6,2,0,0,0,5800000000,0,0,0,1500000000,-8500000000,1200000000,0,0,0,2017-05-19,SL-155,18.602739726,2011,6069,0.001,10,25,0.51,0.515,-0.005,0.01,40742,32756,14790,SL-155,-0.09,0.0098110377,up,up
817,823,14,1,0,0,6,6,0,0,0,0,-45000000000,45000000000,0,0,5500000000,-5500000000,0,0,0,0,2017-06-07,SL-155,18.5506849315,2017,5475,-0.006999999999999999,10,25,0.48,0.49,-0.01,-0.005,40742,32756,14790,SL-155,-0.065,0.0085358255,up,down
818,824,14,1,0,0,6,6,0,0,0,0,-45000000000,45000000000,0,0,5500000000,-5500000000,0,0,0,0,2017-06-07,SL-155,18.5506849315,2017,5475,-0.006999999999999999,10,25,0.48,0.49,-0.01,-0.005,40742,32756,14790,SL-155,-0.065,0.0085358255,up,down
821,827,3,6,0,0,9,11,2,0,0,0,-10700000000,9500000000,0,0,2200000000,-1000000000,0,0,0,0,2017-05-19,SL-156,18.8520547945,2011,6069,0.001,10,25,0.55,0.555,-0.005,0.01,36320,30918,17982,SL-156,-0.07590551179999999,0.0092757134,up,down
827,833,2,0,0,0,7,4,2,0,0,0,-2700000000,0,0,0,3300000000,-600000000,0,0,0,0,2017-06-07,SL-156,18.8,2017,5475,-0.006999999999999999,10,25,0.52,0.525,-0.005,-0.005,36320,30918,17982,SL-156,-0.06242990650000001,-0.07000211049999999,up,down
