,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
1660,1672,5,0,0,0,2,3,0,0,0,0,8500000000,0,0,0,0,-8500000000,0,0,0,0,2017-05-17,316,4.098630137,3004,8789,0.003,3,5,-0.13,-0.13,0.0,0.0,24084,19901,7839,316,-0.1,0.0018425842,down,up
1666,1678,2,2,0,0,3,16,1,0,0,0,-200000000,0,0,0,0,0,200000000,0,0,0,2017-06-09,316,4.0356164384,3003,6580,-0.012,3,5,-0.1,-0.115,0.015,0.0,24084,19901,7839,316,-0.06196142530000001,0.0097179299,down,up
1668,1680,6,1,0,0,2,1,0,0,0,0,-14300000000,17300000000,0,0,0,-3000000000,0,0,0,0,2017-05-24,317,4.3315068493,3005,11289,0.006999999999999999,3,5,-0.124,-0.124,0.0,-0.013999999999999999,23019,19923,4164,317,-0.027941176499999998,0.009894979,up,up
1676,1688,2,3,1,0,3,1,0,0,0,0,100000000,-5800000000,3000000000,0,9000000000,-6300000000,0,0,0,0,2017-05-31,317,4.3123287670999995,3004,9144,0.006,3,5,-0.124,-0.124,0.0,-0.005,23019,19923,4164,317,-0.07,0.01,up,up
1677,1689,12,4,1,0,15,10,0,0,0,0,-17500000000,22000000000,-3000000000,0,0,-1500000000,0,0,0,0,2017-05-24,318,4.3315068493,3005,11289,0.006999999999999999,3,5,-0.124,-0.124,0.0,-0.013999999999999999,46662,40010,11714,318,-0.0310876672,0.0082817207,up,up
1679,1691,32,5,0,0,26,7,0,0,0,0,28100000000,-28400000000,0,0,-11200000000,11500000000,0,0,0,0,2017-05-17,318,4.3506849315,3004,8789,0.003,3,5,-0.125,-0.125,0.0,0.0,46662,40010,11714,318,-0.031576937799999996,0.0091092746,up,up
1684,1696,2,7,0,0,21,5,0,0,0,0,2200000000,1400000000,0,0,-19100000000,15500000000,0,0,0,0,2017-05-31,318,4.3123287670999995,3004,9144,0.006,3,5,-0.124,-0.124,0.0,-0.005,46662,40010,11714,318,-0.08,0.008918941000000001,down,up
1685,1697,3,1,0,0,13,11,0,0,0,0,-11600000000,10000000000,0,0,1600000000,0,0,0,0,0,2017-05-24,319,4.5808219178,3005,11289,0.006999999999999999,3,5,-0.11900000000000001,-0.11900000000000001,0.0,-0.01,24319,19991,6262,319,-0.0288961039,0.0075581168,up,up
1686,1698,4,0,0,0,11,3,0,0,0,0,-8200000000,0,0,0,200000000,8000000000,0,0,0,0,2017-05-22,319,4.5917808219000005,3005,10497,0.003,3,5,-0.109,-0.114,0.005,0.006,24319,19991,6262,319,-0.0107396289,0.007238918100000001,down,up
1687,1699,6,0,0,0,19,11,0,0,0,0,-1300000000,0,0,0,4800000000,-3500000000,0,0,0,0,2017-05-17,319,4.6,3004,8789,0.003,3,5,-0.125,-0.125,0.0,-0.001,24319,19991,6262,319,-0.095,0.0091544243,up,up
1692,1704,14,2,0,0,0,2,0,0,0,0,5000000000,5000000000,0,0,0,-10000000000,0,0,0,0,2017-06-09,319,4.5369863014,3003,6580,-0.012,3,5,-0.095,-0.109,0.013999999999999999,0.0,24319,19991,6262,319,-0.0220849006,0.0085898768,up,up
1696,1708,12,0,0,0,2,1,0,0,0,0,-2900000000,0,0,0,2400000000,500000000,0,0,0,0,2017-05-17,320,4.6,3004,8789,0.003,3,5,-0.125,-0.125,0.0,-0.001,50432,40056,16595,320,-0.095,0.0094410724,stay,up
1702,1714,3,0,0,0,2,0,0,0,0,0,200000000,0,0,0,-200000000,0,0,0,0,0,2017-05-31,320,4.5616438356,3004,9144,0.006,3,5,-0.114,-0.115,0.001,-0.005,50432,40056,16595,320,-0.08,0.008280975900000001,stay,up
1703,1715,18,1,0,0,2,12,0,0,0,0,33600000000,-13900000000,0,0,300000000,-20000000000,0,0,0,0,2017-05-24,321,4.8273972603,3005,11289,0.006999999999999999,3,5,-0.114,-0.114,0.0,-0.01,47149,40921,11523,321,-0.0133133269,0.0050279677,up,up
1705,1717,65,1,0,0,2,0,0,0,0,0,25000000000,-25000000000,0,0,0,0,0,0,0,0,2017-05-17,321,4.8465753425,3004,8789,0.003,3,5,-0.12,-0.12,0.0,-0.001,47149,40921,11523,321,-0.0754863813,0.009614781,up,up
1712,1724,12,0,0,0,2,2,0,0,0,0,20300000000,0,0,0,200000000,-20500000000,0,0,0,0,2017-05-22,322,4.8383561644,3005,10497,0.003,3,5,-0.10400000000000001,-0.109,0.005,0.006,25226,20868,11447,322,-0.075,0.009971090699999999,down,up
1713,1725,9,2,0,0,2,1,0,0,0,0,-500000000,0,0,0,0,500000000,0,0,0,0,2017-05-17,322,4.8465753425,3004,8789,0.003,3,5,-0.12,-0.12,0.0,-0.001,25226,20868,11447,322,-0.09033783779999999,0.0099972489,stay,up
