,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
449,2124,2136,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,221,5.7863013699,4505,10517,-0.006,5,10,-0.1,-0.1,0.0,0.0,7989,7989,6090,221,-0.065,-0.005986029,0,1
243,1159,1169,1,1,0,0,25,23,0,0,0,0,-3900000000,3800000000,0,0,-12500000000,12600000000,0,0,0,0,9,187,38.8821917808,1002,3108,0.009000000000000001,25,-1,1.035,1.035,0.0,0.02,30872,27971,11426,187,-0.08905494509999999,0.0065376211,0,0
184,858,864,27,5,0,0,3,5,6,0,0,0,9400000000,-1600000000,0,0,500000000,-7000000000,-1300000000,0,0,0,15,207,19.569863013699997,2019,7279,0.003,10,25,0.555,0.546,0.009000000000000001,-0.019,37182,29768,5554,207,-0.0751452599,-0.07500795099999999,0,1
60,560,565,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,14.076712328800001,2006,4580,-0.01,10,25,0.235,0.23,0.005,-0.004,12499,10044,2259,65,-0.055075376900000014,0.01,0,2
3,63,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,162,17.580821917799998,2006,4580,-0.01,10,25,0.4,0.395,0.005,-0.005,4998,4998,1703,162,0.0,-0.0651750905,0,0
479,2440,2459,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,215,0.5890410959000001,702,5772,0.042,-1,1,-0.14800000000000002,-0.14800000000000002,0.0,0.001,26979,24689,14189,215,-0.1,-0.1,0,1
300,1506,1518,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,153,2.2821917808000003,2801,4911,-0.008,1,3,-0.114,-0.135,0.021,0.004,56775,49450,28933,153,-0.01,0.0081726418,0,1
316,1618,1630,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,171,3.3479452055000003,3004,8789,0.003,3,5,-0.145,-0.145,0.0,0.0,21925,20073,7286,171,-0.0951428571,-0.0445325779,0,1
133,750,756,13,3,0,0,3,1,2,0,0,0,-700000000,500000000,0,0,100000000,-500000000,600000000,0,0,0,15,76,16.8136986301,2019,7279,0.003,10,25,0.375,0.369,0.006,-0.016,37440,32897,17385,76,-0.0701730104,0.008479895000000001,0,1
290,1424,1436,2,2,0,0,1,0,0,0,0,0,61800000000,-61900000000,0,0,100000000,0,0,0,0,0,11,181,2.7808219177999995,2801,4911,-0.008,1,3,-0.111,-0.13,0.019,0.004,25085,20116,8421,181,-0.06,0.0087950049,0,1
49,445,450,15,0,0,0,4,4,0,0,0,0,300000000,0,0,0,-800000000,500000000,0,0,0,0,4,167,12.843835616400002,2011,6069,0.001,10,25,0.18,0.185,-0.005,0.006,25152,20080,3568,167,-0.09,-0.080002107,0,1
472,2403,2422,2,4,1,0,0,0,0,0,0,0,-16100000000,166100000000,-150000000000,0,0,0,0,0,0,0,4,265,0.5890410959000001,702,5772,0.042,-1,1,-0.14800000000000002,-0.14800000000000002,0.0,0.001,58394,51940,9600,265,-0.055,0.01,0,0
4,82,85,8,0,1,0,0,0,0,0,0,0,37000000000,0,-37000000000,0,0,0,0,0,0,0,4,203,18.098630137,2011,6069,0.001,10,25,0.445,0.45,-0.005,0.005,5380,4998,987,203,-0.09,-0.0800086059,0,0
